x,y,Temperature
1.812836044560450777e-01,2.802595398851432940e-01,9.090889767488816631e+01
1.748739490002249874e-01,2.956828226769442902e-01,8.948698632527462848e+01
1.028300597697322932e-01,3.822087934696387634e-01,6.510532896302630945e+01
2.259551199093645657e-02,3.614889744106868918e-01,5.940140885525708114e+01
8.541963719566207647e-02,4.096232931941196087e-01,5.917263863335823260e+01
8.974015899313576849e-02,3.931314111979147263e-01,6.046270590326688676e+01
1.102684830102918512e-01,4.073212781655036197e-01,6.268631760070397263e+01
6.180175031919857981e-02,3.946240265666632330e-01,5.858599767593466368e+01
1.184333706456197483e-01,3.696514048541101882e-01,6.817643643108038987e+01
8.959674819242399724e-02,3.641602095313354326e-01,6.534769121161718886e+01
6.501892416306750966e-02,3.457496506845972317e-01,6.390993984872418565e+01
4.778064438089239113e-02,3.691580083203797602e-01,6.117723767835490634e+01
1.293470261526920989e-02,2.890499048743956356e-01,6.804149318451088391e+01
1.689116141438339047e-02,2.558940614381292611e-01,7.151115497555159095e+01
0.000000000000000000e+00,2.437499999999999667e-01,7.189291364267955942e+01
1.636898141012717300e-02,2.343749999999999722e-01,7.218496260216704741e+01
0.000000000000000000e+00,1.875000000000000000e-01,7.423014901368277663e+01
4.261400059623748210e-02,2.358623109308654320e-01,7.294565009860934879e+01
6.310263311661339081e-02,2.534621311137628119e-01,7.352160919895194979e+01
7.485871215338119056e-02,2.345730551472917647e-01,7.490133524135556797e+01
5.718193088189098272e-02,2.078040092674018902e-01,7.458247626454971169e+01
6.185640815479290233e-02,2.239381477924024533e-01,7.435466801636655987e+01
3.905590634453355581e-02,2.217998151951512398e-01,7.321352263597323429e+01
1.814395774687841412e-01,2.125000000000000222e-01,9.112623440802465780e+01
1.244693902164143162e-01,4.314007938445173496e-01,6.094518336647238499e+01
9.891762556732017209e-02,4.200607689710846859e-01,5.881282214311317347e+01
7.599944193028615458e-02,4.357524059524696680e-01,5.164486052916229397e+01
6.723171294991905911e-02,3.664829619492917523e-01,6.256875640071618250e+01
6.919869404117666434e-02,3.814569028977017884e-01,6.128697299366145046e+01
8.718095791968238917e-02,1.572982376596177012e-01,7.876664325284301071e+01
1.300655799308176874e-01,4.040115349736903561e-01,6.659206946313310027e+01
1.395626066981929814e-01,3.891826949308194172e-01,6.980401211383481552e+01
1.339167531655756083e-01,3.740958583241880131e-01,7.190825680924312735e+01
4.951349346365344073e-02,3.847968209573044973e-01,5.928603557616392550e+01
3.057103051388057255e-02,1.920755717897699166e-01,7.449729533577843199e+01
1.855752861783198371e-02,2.115759197588639173e-01,7.274118613058379879e+01
9.956056586308052736e-02,1.821084394035075438e-01,7.970882933762166545e+01
1.576840689898237613e-01,3.968235530972744063e-01,7.736306246344121007e+01
6.858798639258415451e-03,4.687499999999999445e-01,4.300662929862085093e+01
8.925950199814219888e-02,4.875936333708787429e-01,4.648006866147335359e+01
3.693549115068283512e-02,4.998717084593182758e-01,3.928405787461127119e+01
4.074031757048271474e-02,2.052458563497990551e-01,7.451024509769797532e+01
0.000000000000000000e+00,2.062499999999999889e-01,7.319414013657521423e+01
1.441923300457292542e-02,1.955757272468197638e-01,7.366844492971875979e+01
1.496316013377123610e-01,1.890304041837628235e-01,8.495809093430543157e+01
1.349477188515917359e-01,1.877369826333497860e-01,8.126323026996911381e+01
1.612450602217350634e-02,4.400541827678281503e-01,4.791843009932191677e+01
0.000000000000000000e+00,4.124999999999999778e-01,5.352685246850328582e+01
1.016370233247072680e-01,4.568112275063924699e-01,5.306429677604274531e+01
4.000000000000000222e-01,5.999999999999999778e-01,3.000000000000000000e+01
0.000000000000000000e+00,3.937499999999999889e-01,5.637993578996326960e+01
1.112321622570912327e-01,1.355288573350395542e-01,8.148625928568962706e+01
1.248761416257700846e-01,1.691217895402629956e-01,8.127471398564844662e+01
5.523251853899286551e-02,4.390875268733779868e-01,5.126743127773779207e+01
1.727468519401718569e-02,4.013922639165355966e-01,5.416440008891190416e+01
1.138681993381173568e-01,1.858354204361950535e-01,8.096858386025770926e+01
1.877604190960423594e-02,4.218750000000000000e-01,5.296977173693545637e+01
4.818314873855882030e-02,4.005118959131054313e-01,5.591103791770811426e+01
3.397863614804154386e-02,4.205755687180532387e-01,5.234369644011866995e+01
1.438744721835604097e-02,3.845735113250000614e-01,5.874000754939939384e+01
0.000000000000000000e+00,5.249999999999999112e-01,3.418113586418046168e+01
3.445387952670510290e-02,4.358261928681038122e-01,5.113717435201704120e+01
1.219999435672405458e-01,4.166298971856205458e-01,6.323066476501251998e+01
2.000000000000000111e-01,5.999999999999999778e-01,3.000000000000000000e+01
3.179544404018284226e-02,5.485179521266270175e-01,3.247319326735176759e+01
6.444972246138205851e-02,4.759052481922460553e-01,4.617178575057884160e+01
3.105443314533780017e-02,4.062576584520031786e-01,5.447663255624325274e+01
4.704583385713294319e-02,4.547097729629050455e-01,4.613907252848420626e+01
1.918001780963395422e-02,4.838866171022251916e-01,4.031191132560300616e+01
4.831328548339053341e-02,4.153482154998702769e-01,5.255888044567895889e+01
6.343180533547419786e-02,4.238196820814644217e-01,5.357155153002703685e+01
6.934120062647336491e-02,4.088464156184751230e-01,5.817249353926631272e+01
2.305088373854077138e-02,4.570700171698973691e-01,4.565957053518321374e+01
0.000000000000000000e+00,5.062499999999998668e-01,3.584279971806624587e+01
2.957071505137931489e-02,3.767840980111449856e-01,5.887411196144056902e+01
3.574811946153710202e-02,3.924184812238293296e-01,5.733764261934783946e+01
0.000000000000000000e+00,4.874999999999999334e-01,3.905028529997400000e+01
0.000000000000000000e+00,4.312499999999999667e-01,5.021764911167038292e+01
3.702459183812233101e-02,4.759808725524939388e-01,4.222599293511965612e+01
6.849238273525995457e-02,4.553305704928024555e-01,5.084569741716027380e+01
8.293083414677435150e-02,4.688520453010399103e-01,4.947017076291483306e+01
8.531127882842670651e-02,4.505512775461206765e-01,5.229104265102638038e+01
9.929183601210291032e-02,4.385089207312438675e-01,5.506647813317552931e+01
2.063741442733862952e-02,5.156249999999998890e-01,3.523454224743717589e+01
5.071921549805033513e-02,4.694365307315556679e-01,4.535035253777333253e+01
6.260520089279819622e-02,5.015645016334068229e-01,3.861484683323956801e+01
1.530214491668775885e-02,4.999673379573315035e-01,3.588002104145550675e+01
3.474130682778464596e-02,5.139091408658755800e-01,3.554373026888051612e+01
0.000000000000000000e+00,5.625000000000000000e-01,3.128436530651323366e+01
1.000000000000000056e-01,5.999999999999999778e-01,3.000000000000000000e+01
5.061055199257120246e-02,4.879771253892176142e-01,4.234142230592360079e+01
7.323487703207109956e-02,4.894326947866011746e-01,4.361781154948040040e+01
1.706994744007157838e-02,5.351741685280834160e-01,3.348311675969843293e+01
3.401031897974524792e-02,5.312766998899201010e-01,3.348034757748597201e+01
7.883267421941772546e-02,5.457976368125481148e-01,3.514316074629547870e+01
5.505876926386236991e-02,5.427435531776314548e-01,3.383879453950748228e+01
0.000000000000000000e+00,5.437499999999999556e-01,3.277072888935593653e+01
7.500000000000001110e-02,5.999999999999999778e-01,3.000000000000000000e+01
1.484936844452571306e-02,5.531249999999999778e-01,3.222227793050326738e+01
4.400521182951926819e-02,5.789294467423210522e-01,3.204632165458941984e+01
6.952804509846259584e-02,5.812634984795483906e-01,3.161877643338373289e+01
6.953492765949075005e-02,5.241154379137337171e-01,3.611558685867176877e+01
5.088396543309286341e-02,5.232877364355725813e-01,3.561921168551391048e+01
8.349111396621465564e-02,5.080655550287058730e-01,4.080879863559344756e+01
1.415237756097481314e-01,5.133688174324285702e-01,4.803779745148753477e+01
1.129996070235356753e-01,5.053315420147355130e-01,4.591368245396294157e+01
9.771980205532208863e-02,5.010261404221532100e-01,4.496953596923241037e+01
2.715733929199431670e-02,5.649274864955222686e-01,3.228839869573700838e+01
2.500000000000000139e-02,5.999999999999999778e-01,3.000000000000000000e+01
5.000000000000000278e-02,5.999999999999999778e-01,3.000000000000000000e+01
4.926441923912892179e-02,5.083900367738722892e-01,3.680381843129653419e+01
1.620979914522047843e-02,3.085901150813132876e-01,6.578747919579969050e+01
1.196388026912895836e-02,3.252087915773638760e-01,6.331943470979354771e+01
2.385588877263195712e-02,3.414217797423968470e-01,6.177408585212290149e+01
0.000000000000000000e+00,1.687500000000000111e-01,7.534230738251896753e+01
1.495597818238159626e-01,4.222609397818969379e-01,6.881574144587294484e+01
0.000000000000000000e+00,3.562500000000000111e-01,6.018286501034118885e+01
3.851150457397621574e-02,3.544093482599955935e-01,6.164666181994046923e+01
6.022622815205297409e-02,5.641032251377325890e-01,3.355532632543835803e+01
4.359702958046982046e-02,5.607138744703755728e-01,3.351444583995099435e+01
7.822500315216301958e-02,5.637888969023300278e-01,3.413491790036143669e+01
